t	y(t)
0.414414	0.237184
0.428428	0.241143
0.442442	0.244938
0.456456	0.248578
0.470470	0.252067
0.484484	0.255413
0.498498	0.258621
0.512513	0.261697
0.526527	0.264646
0.540541	0.267474
0.554555	0.270185
0.568569	0.272785
0.582583	0.275278
0.596597	0.277668
0.610611	0.279960
0.624625	0.282157
0.638639	0.284264
0.652653	0.286285
0.666667	0.288222
0.680681	0.290079
0.694695	0.291860
0.708709	0.293567
0.722723	0.295204
0.736737	0.296774
0.750751	0.298279
0.764765	0.299722
0.778779	0.301106
0.792793	0.302433
0.806807	0.303705
0.820821	0.304925
0.834835	0.306095
0.848849	0.307216
0.862863	0.308291
0.876877	0.309322
0.890891	0.310311
0.904905	0.311259
0.918919	0.312168
0.932933	0.313039
0.946947	0.313874
0.960961	0.314676
0.974975	0.315444
0.988989	0.316180
1.003003	0.316886
1.017017	0.317564
1.031031	0.318213
1.045045	0.318835
1.059059	0.319432
1.073073	0.320005
1.087087	0.320553
1.101101	0.321079
1.115115	0.321584
1.129129	0.322068
1.143143	0.322532
1.157157	0.322976
1.171171	0.323403
1.185185	0.323811
1.199199	0.324204
1.213213	0.324579
1.227227	0.324940
1.241241	0.325285
1.255255	0.325617
1.269269	0.325934
1.283283	0.326239
1.297297	0.326531
1.311311	0.326811
1.325325	0.327080
1.339339	0.327337
1.353353	0.327584
1.367367	0.327821
1.381381	0.328048
1.395395	0.328265
1.409409	0.328474
1.423423	0.328674
1.437437	0.328866
1.451451	0.329050
1.465465	0.329226
1.479479	0.329395
1.493493	0.329557
1.507508	0.329713
1.521522	0.329862
1.535536	0.330005
1.549550	0.330142
1.563564	0.330273
1.577578	0.330399
1.591592	0.330520
1.605606	0.330636
1.619620	0.330747
1.633634	0.330853
1.647648	0.330955
1.661662	0.331053
1.675676	0.331147
1.689690	0.331237
1.703704	0.331324
1.717718	0.331406
1.731732	0.331486
1.745746	0.331562
1.759760	0.331635
1.773774	0.331705
1.787788	0.331772
1.801802	0.331836
1.815816	0.331898
1.829830	0.331957
1.843844	0.332013
1.857858	0.332068
1.871872	0.332120
1.885886	0.332170
1.899900	0.332218
1.913914	0.332264
1.927928	0.332308
1.941942	0.332350
1.955956	0.332390
1.969970	0.332429
1.983984	0.332466
1.997998	0.332502
2.012012	0.332536
2.026026	0.332569
2.040040	0.332601
2.054054	0.332631
2.068068	0.332660
2.082082	0.332687
2.096096	0.332714
2.110110	0.332740
2.124124	0.332764
2.138138	0.332787
2.152152	0.332810
2.166166	0.332831
2.180180	0.332852
2.194194	0.332872
2.208208	0.332891
2.222222	0.332909
2.236236	0.332927
2.250250	0.332943
2.264264	0.332959
2.278278	0.332975
2.292292	0.332990
2.306306	0.333004
2.320320	0.333017
2.334334	0.333030
2.348348	0.333043
2.362362	0.333055
2.376376	0.333066
2.390390	0.333077
2.404404	0.333088
2.418418	0.333098
2.432432	0.333108
2.446446	0.333117
2.460460	0.333126
2.474474	0.333134
2.488488	0.333142
2.502503	0.333150
2.516517	0.333158
2.530531	0.333165
2.544545	0.333172
